tau,start_id,ok,optimization_status,solution_status,objective,risk,return,mu_w,kkt_stationarity,kkt_feasibility,kkt_complementarity,gap_to_best,reached_best,solve_time_s,n_iterations,n_selected,selected_assets
0.3324597932270942,rand0,True,SUCCESS,FEASIBLE_KKT_POINT,-0.016755520942874375,0.012328941369897383,-0.08748264573726952,0.08748264573726952,1.1266107492137083e-15,0.0,0.0,0.556836057213101,False,0.0027339009975548834,4,6,1|6|23|31|32|40
0.3324597932270942,rand1,True,SUCCESS,FEASIBLE_KKT_POINT,-0.0378088542990699,0.009199013379995843,-0.14139414340234507,0.14139414340234507,1.3597272991806682e-15,0.0,0.0,0.0,True,0.0028750739875249565,4,5,5|7|19|44|47
0.3324597932270942,rand2,True,SUCCESS,FEASIBLE_KKT_POINT,-0.013533092994631127,0.019954871847855996,-0.10072786401455892,0.10072786401455892,8.162643574987926e-16,0.0,0.0,0.6420655096230697,False,0.0030317519849631935,4,4,28|41|43|45
0.3324597932270942,rand3,True,SUCCESS,FEASIBLE_KKT_POINT,-0.02094313483014456,0.010280454234786945,-0.09391688769896914,0.09391688769896914,4.744904746134193e-16,0.0,0.0,0.4460785649591651,False,0.002742105018114671,4,6,3|7|9|16|24|34
0.3324597932270942,rand4,True,SUCCESS,FEASIBLE_KKT_POINT,-0.009674911167478303,0.021678404774015538,-0.09430709090310133,0.09430709090310133,1.6751034581221635e-15,0.0,0.0,0.7441099089728191,False,0.0026976850058417767,4,5,5|18|30|34|44
0.47196853200182304,cont,True,SUCCESS,FEASIBLE_KKT_POINT,-0.05764021704044678,0.009763212570014664,-0.14281339758939923,0.14281339758939923,2.6883177111928387e-16,0.0,0.0,0.0,True,0.0024036219983827323,2,4,5|7|19|47
0.47196853200182304,rand0,True,SUCCESS,FEASIBLE_KKT_POINT,-0.02529864653636088,0.01669784736669322,-0.08898155503064743,0.08898155503064743,6.739395122689219e-16,0.0,0.0,0.5610938362850085,False,0.0027119900041725487,4,7,8|17|26|27|35|36|38
0.47196853200182304,rand1,True,SUCCESS,FEASIBLE_KKT_POINT,-0.009747750416621008,0.021168733613949144,-0.06550539269946652,0.06550539269946652,9.278484370861693e-16,0.0,0.0,0.8308862992203553,False,0.0028004430059809238,4,5,3|15|20|23|27
0.47196853200182304,rand2,True,SUCCESS,FEASIBLE_KKT_POINT,-0.038618305215615586,0.012396854338788031,-0.10809017147398836,0.10809017147398836,9.379529683302223e-16,0.0,0.0,0.3300111068484231,False,0.0028544550004880875,4,5,1|8|37|39|41
0.47196853200182304,rand3,True,SUCCESS,FEASIBLE_KKT_POINT,-0.034172407869143745,0.010230945408466873,-0.09408117335551326,0.09408117335551326,2.242082278245253e-15,0.0,0.0,0.4071429702360119,False,0.002768787002423778,4,7,3|4|5|28|36|38|42
